city,state,cost_of_living_index,rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
Honolulu,Hawaii,103.65,65.07,114.92,94.28,89.24
New York,New York,100.0,100.0,100.0,100.0,100.0
Santa Barbara,California,95.01,78.42,99.53,99.41,93.86
Berkeley,California,94.36,88.22,106.23,78.85,85.78
San Francisco,California,93.91,108.42,97.05,93.4,133.16
Oakland,California,92.93,87.79,98.46,78.71,111.73
Anchorage,Alaska,91.23,39.29,97.95,78.76,118.63
Santa Clara,California,89.41,90.39,100.63,73.46,155.41
Seattle,Washington,88.52,65.84,87.34,93.09,145.39
Boston,Massachusetts,85.47,78.26,85.4,90.86,115.72
Queens,New York,84.02,69.36,79.19,83.16,105.72
Washington,,83.74,73.47,83.86,82.36,121.83
Pittsburgh,Pennsylvania,82.36,39.14,89.37,68.36,115.5
Jersey City,New Jersey,80.79,63.0,81.67,73.28,155.89
Philadelphia,Pennsylvania,79.19,49.57,81.67,71.07,115.61
Los Angeles,California,79.19,74.48,75.94,91.73,126.12
Minneapolis,Minnesota,79.08,47.05,79.07,78.57,114.68
Birmingham,Alabama,78.82,28.19,84.3,75.48,84.93
Miami,Florida,78.0,64.96,76.72,79.18,93.71
Sacramento,California,77.88,50.55,80.84,70.23,101.43
Charleston,South Carolina,77.26,48.61,77.13,78.68,121.26
Asheville,North Carolina,77.25,45.36,85.59,71.12,94.16
Chicago,Illinois,77.06,57.25,73.3,76.34,135.26
Fort Lauderdale,Florida,76.86,56.56,81.28,82.48,101.32
Portland,Oregon,76.83,52.91,75.46,74.61,108.09
Atlanta,Georgia,76.6,48.58,78.0,70.94,130.67
Saint Paul,Minnesota,76.17,43.96,73.4,77.55,106.63
Plano,Texas,75.94,48.36,77.11,61.45,105.41
Tampa,Florida,75.83,46.37,80.03,74.23,98.28
San Diego,California,75.47,68.77,73.82,78.67,127.94
Cleveland,Ohio,75.41,35.29,76.36,79.48,125.32
Omaha,Nebraska,75.31,30.21,72.55,80.25,106.03
Denver,Colorado,75.16,55.36,72.13,76.59,129.98
Buffalo,New York,74.29,29.56,72.4,73.62,124.36
Colorado Springs,Colorado,74.26,41.51,74.4,72.77,137.64
Fremont,California,74.12,74.93,75.4,71.0,157.35
Salem,Oregon,73.98,35.81,78.63,63.1,89.2
San Jose,California,73.71,82.3,70.53,74.25,157.39
Nashville,Tennessee,73.62,53.5,73.46,74.0,111.46
Olympia,Washington,73.58,37.93,77.67,81.13,108.83
Baltimore,Maryland,73.56,41.68,74.65,73.38,136.13
New Orleans,Louisiana,73.55,43.45,69.49,76.72,92.88
Fort Collins,Colorado,72.75,43.09,83.18,56.71,100.34
Iowa City,Iowa,72.54,31.69,78.24,62.48,85.03
Syracuse,New York,72.53,31.3,79.21,65.02,78.44
Everett,Washington,72.38,45.16,72.08,81.87,101.79
Rochester,New York,71.57,29.13,71.98,69.13,100.12
Milwaukee,Wisconsin,71.56,39.74,73.6,68.6,109.19
Albany,New York,71.49,34.7,69.53,78.98,129.75
Detroit,Michigan,70.68,36.65,68.34,67.09,110.05
Reno,Nevada,70.67,46.95,71.66,71.09,96.91
