company_name,rank,rank_change,revenue,profit,num_of_employees,sector,newcomer,prev_rank,ticker,market_cap
Walmart,1,0,572754,13673,2300000,Retailing,no,1,WMT,352037
Amazon,2,0,469822,33364,1608000,Retailing,no,2,AMZN,1202717
Apple,3,0,365817,94680,154000,Technology,no,3,AAPL,2443962
CVS Health,4,0,292111,7910,258000,Health Care,no,4,CVS,125204
UnitedHealth Group,5,0,287597,17285,350000,Health Care,no,5,UNH,500468
Exxon Mobil,6,4,285640,23040,63000,Energy,no,10,XOM,371841
Berkshire Hathaway,7,-1,276094,89795,372000,Financials,no,6,BRKA,625468
Alphabet,8,1,257637,76033,156500,Technology,no,9,GOOGL,1309359
McKesson,9,-2,238228,-4539,67500,Health Care,no,7,MCK,47377
AmerisourceBergen,10,-2,213988,1539,40000,Health Care,no,8,ABC,29972
Costco Wholesale,11,1,195929,5007,288000,Retailing,no,12,COST,230443
Cigna,12,1,174078,5365,72963,Health Care,no,13,CI,88459
AT&T,13,-2,168864,20081,202600,Telecommunications,no,11,T,148907
Microsoft,14,1,168088,61271,181000,Technology,no,15,MSFT,1941033
Cardinal Health,15,-1,162467,611,46827,Health Care,no,14,CAH,15169
Chevron,16,11,162465,15625,42595,Energy,no,27,CVX,284132
Home Depot,17,1,151157,16433,490600,Retailing,no,18,HD,308152
Walgreens Boots Alliance,18,-2,148579,2542,258500,Food & Drug Stores,no,16,WBA,33360
Marathon Petroleum,19,13,141032,9738,17700,Energy,no,32,MPC,47526
Elevance Health,20,3,138639,6104,98200,Health Care,no,23,ELV,119923
Kroger,21,-4,137888,1655,420000,Food & Drug Stores,no,17,KR,33846
Ford Motor,22,-1,136341,17937,183000,Motor Vehicles & Parts,no,21,F,50609
Verizon Communications,23,-3,133613,22065,118400,Telecommunications,no,20,VZ,211872
JPMorgan Chase,24,-5,127202,48334,271025,Financials,no,19,JPM,336469
General Motors,25,-3,127004,10019,157000,Motor Vehicles & Parts,no,22,GM,50156
Centene,26,-2,125982,1347,72500,Health Care,no,24,CNC,53429
Meta Platforms,27,7,117929,39370,71970,Technology,no,34,META,475718
Comcast,28,-2,116385,14159,189000,Telecommunications,no,26,CMCSA,185069
Phillips 66,29,19,114852,1317,14000,Energy,no,48,PSX,41091
Valero Energy,30,23,108332,930,9804,Energy,no,53,VLO,44376
Dell Technologies,31,-3,106995,5563,133000,Technology,no,28,DELL,32568
Target,32,-2,106005,6946,450000,Retailing,no,30,TGT,71112
Fannie Mae,33,-8,101543,22176,7400,Financials,no,25,FNMA,3961
United Parcel Service,34,1,97287,12890,400945,Transportation,no,35,UPS,162355
Lowe's,35,-4,96250,8442,270000,Retailing,no,31,LOW,120655
Bank of America,36,-7,93851,31978,208248,Financials,no,29,BAC,268697
Johnson & Johnson,37,-1,93775,20878,141700,Health Care,no,36,JNJ,451785
Archer Daniels Midland,38,13,85249,2709,39979,"Food, Beverages & Tobacco",no,51,ADM,41545
FedEx,39,6,83959,5231,484000,Transportation,no,45,FDX,58577
Humana,40,1,83064,2933,95500,Health Care,no,41,HUM,62653
Wells Fargo,41,-4,82407,21548,247848,Financials,no,37,WFC,162606
State Farm Insurance,42,-3,82224,1280,53586,Financials,no,39,,
Pfizer,43,34,81288,21979,79000,Health Care,no,77,PFE,288232
Citigroup,44,-11,79865,21952,221768,Financials,no,33,C,100976
PepsiCo,45,-1,79474,7618,309000,"Food, Beverages & Tobacco",no,44,PEP,234697
Intel,46,-6,79024,19868,121100,Technology,no,40,INTC,164460
Procter & Gamble,47,-4,76118,14306,101000,Household Products,no,43,PG,345595
General Electric,48,-10,74196,-6520,168000,Industrials,no,38,GE,73458
IBM,49,-7,72344,5743,297800,Technology,no,42,IBM,107307
MetLife,50,-4,71080,6554,43000,Financials,no,46,MET,49443
Prudential Financial,51,4,70934,7724,40916,Financials,no,55,PRU,35689
Albertsons,52,0,69690,850,300000,Food & Drug Stores,no,52,ACI,14087
Walt Disney,53,-3,67418,1995,171000,Media,no,50,DIS,181438
Energy Transfer,54,27,67417,5470,12558,Energy,no,81,ET,32182
Lockheed Martin,55,-6,67044,6315,114000,Aerospace & Defense,no,49,LMT,103510
Freddie Mac,56,-9,65898,12109,7301,Financials,no,47,FMCC,2055
Goldman Sachs Group,57,2,64989,21635,43900,Financials,no,59,GS,113877
Raytheon Technologies,58,-1,64388,3864,174000,Aerospace & Defense,no,57,RTX,139531
HP,59,-3,63487,6503,51000,Technology,no,56,HPQ,33951
Boeing,60,-6,62286,-4202,142000,Aerospace & Defense,no,54,BA,92372
Morgan Stanley,61,0,61121,15034,74814,Financials,no,61,MS,142829
HCA Healthcare,62,0,58752,6956,244000,Health Care,no,62,HCA,52649
AbbVie,63,5,56197,11542,50000,Health Care,no,68,ABBV,264607
Dow,64,18,54968,6311,35700,Chemicals,no,82,DOW,38189
Tesla,65,35,53823,5519,99290,Motor Vehicles & Parts,no,100,TSLA,763395
Allstate,66,4,53228,1599,54500,Financials,no,70,ALL,33721
American International Group,67,5,52057,9388,36600,Financials,no,72,AIG,40988
Best Buy,68,-2,51761,2454,81375,Retailing,no,66,BBY,17106
Charter Communications,69,-5,51682,4654,93700,Telecommunications,no,64,CHTR,89514
Sysco,70,-10,51297,524,57710,Wholesalers,no,60,SYY,44508
Merck,71,-6,51216,13049,67500,Health Care,no,65,MRK,218166
New York Life Insurance,72,-5,51198,277,14344,Financials,no,67,,-
Caterpillar,73,5,50971,6489,107700,Industrials,no,78,CAT,95735
Cisco Systems,74,-11,49818,10591,79500,Technology,no,63,CSCO,182327
TJX,75,22,48550,3282,340000,Retailing,no,97,TJX,73403
Publix Super Markets,76,-7,48393,4412,232000,Food & Drug Stores,no,69,,-
ConocoPhillips,77,79,48349,8079,9900,Energy,no,156,COP,114444
Liberty Mutual Insurance Group,78,-7,48200,3068,45000,Financials,no,71,,
Progressive,79,-5,47702,3350,49077,Financials,no,74,PGR,65485
Nationwide,80,-4,47376,1617,24134,Financials,no,76,,
Tyson Foods,81,-8,47049,3047,137000,"Food, Beverages & Tobacco",no,73,TSN,30189
Bristol-Myers Squibb,82,-7,46385,6994,32200,Health Care,no,75,BMY,155720
Nike,83,2,44538,5727,73300,Apparel,no,85,NKE,171840
Deere,84,4,44024,5963,75550,Industrials,no,88,DE,95233
American Express,85,-2,43663,8060,64000,Financials,no,83,AXP,111287
Abbott Laboratories,86,3,43075,7071,113000,Health Care,no,89,ABT,192481
StoneX Group,87,-29,42534,116,3242,Financials,no,58,SNEX,1699
Plains GP Holdings,88,39,42078,60,4100,Energy,no,127,PAGP,2131
Enterprise Products Partners,89,16,40806,4637,6911,Energy,no,105,EPD,55122
TIAA,90,-11,40526,4060,15065,Financials,no,79,,-
Oracle,91,-11,40479,13746,132000,Technology,no,80,ORCL,192514
Thermo Fisher Scientific,92,3,39211,7725,129000,Technology,no,95,TMO,202645
Coca-Cola,93,0,38655,9771,79000,"Food, Beverages & Tobacco",no,93,KO,271069
General Dynamics,94,-10,38469,3257,103100,Aerospace & Defense,no,84,GD,59618
CHS,95,8,38448,554,9941,"Food, Beverages & Tobacco",no,103,,
USAA,96,-9,37469,3300,37335,Financials,no,87,,-
Northwestern Mutual,97,-7,36751,977,7585,Financials,no,90,,-
Nucor,98,51,36483,6827,28800,Materials,no,149,NUE,31183
Exelon,99,-7,36347,1706,31518,Energy,no,92,EXC,42832
Massachusetts Mutual Life Insurance,100,23,35899,319,10052,Financials,no,123,,-
Northrop Grumman,101,-15,35667,7005,88000,Aerospace & Defense,no,86,NOC,71099
